Time,Mode,Roll,Pitch,Z Relative distance,Y Relative Distance,X Relative Distance,Z Velocity Input,Y Velocity Input,X Velocity Input,Z Absolute Variance,Y Absolute Variance,X Absolute Variance
1609703827.1558793,Tracking,-0.005218970589339733,-0.005622375290840864,1.5323099587394249,-0.1152426466093164,-1.0769627536258277,0.1532309958739425,0.04670145915217632,0.37864373164610565,-11.224496344802901,-0.13408700749278069,0.1801290176808834
1609703827.2509909,Tracking,-0.005218970589339733,-0.005622375290840864,1.5247975846531543,-0.14012748338250164,-1.0551155174117806,0.15247975846531545,0.09579383281091966,0.3749573748507752,-11.224496344802901,-0.13408700749278069,0.1801290176808834
1609703827.3522675,Tracking,-6.0417780332500115e-05,-0.031026897951960564,1.5254954627992774,-0.12396520683986902,-1.0426501522302682,0.15254954627992776,0.021310344929127714,0.3903003481590038,-11.205979804275557,-0.13645758852362633,0.18049336597323418
1609703827.4492247,Tracking,-6.0417780332500115e-05,-0.031026897951960564,1.5314898875304306,-0.11826239387280633,-1.0109508049658515,0.15314898875304306,0.03631121893759225,0.34809578454113854,-11.205979804275557,-0.13645758852362633,0.18049336597323418
1609703827.556588,Tracking,0.014507964253425598,-0.0853952094912529,1.5344016390719082,-0.14346262758283654,-0.9840011643192678,0.15344016390719084,0.09244124822797187,0.3542855216459081,-11.169846038101241,-0.12078676745295525,0.18163950368762016
1609703827.6573038,Tracking,0.014507964253425598,-0.0853952094912529,1.532959473399059,-0.13791793466533575,-0.9696470760797339,0.15329594733990592,0.04350719248983449,0.3684616910067395,-11.169846038101241,-0.12078676745295525,0.18163950368762016
1609703827.7531562,Tracking,0.014507964253425598,-0.0853952094912529,1.532577101648727,-0.11182557274623516,-0.9581212505972239,0.15325771016487272,1.8103493337140453e-05,0.3701936141606105,-11.169846038101241,-0.12078676745295525,0.18163950368762016
1609703827.8404768,Tracking,0.013765810988843441,-0.05912176892161369,1.5309416568079421,-0.10685149939996577,-0.9465637130354816,0.15309416568079423,0.03360345042585188,0.36525307698214693,-11.130475501297042,-0.0640038289129734,0.18790825828909874
1609703827.9360452,Tracking,0.013765810988843441,-0.05912176892161369,1.5315107162676653,-0.10113545476475219,-0.9294842406113806,0.15315107162676656,0.03186969989314033,0.3546522420949347,-11.130475501297042,-0.0640038289129734,0.18790825828909874
1609703828.0208843,Tracking,0.013765810988843441,-0.05912176892161369,1.535805215495122,-0.09985739699995592,-0.9008865675851051,0.1535805215495122,0.03868934714366236,0.31866857858883574,-11.130475501297042,-0.0640038289129734,0.18790825828909874
1609703828.1585917,Tracking,-0.003381953341886401,-0.040690064430236816,1.593409648090036,-0.08221671880087467,-0.7779637894287073,0.15934096480900362,0.014671696942693872,0.19091336878201062,-11.088738898513839,0.01656632125377655,0.19798627123236656
1609703828.2583866,Tracking,-0.003381953341886401,-0.040690064430236816,1.5923624860120384,-0.06388512345309588,-0.7690668199356906,0.15923624860120386,-0.00014554133628599114,0.3220805225191238,-11.088738898513839,0.01656632125377655,0.19798627123236656
1609703828.3616967,Tracking,-0.0002959572884719819,-0.014821135438978672,1.5921496446487504,-0.05337531651015407,-0.7603762655145971,0.15921496446487504,0.010156316053399832,0.3213566709560192,-11.046091536758468,0.11205999180674553,0.20681359991431236
1609703828.4552472,Tracking,-0.0002959572884719819,-0.014821135438978672,1.5928088320684408,-0.044226354425091645,-0.7503377638057487,0.15928088320684408,0.00799400490693392,0.31556085175357235,-11.046091536758468,0.11205999180674553,0.20681359991431236
1609703828.5686498,Tracking,-0.00758296437561512,-0.018100742250680923,1.592588005525773,-0.03250675660382677,-0.7129815574547973,0.15925880055257732,0.003445717232031041,0.2679615399461597,-11.00314853596501,0.2112705372273922,0.21538351103663445
1609703828.6583352,Tracking,-0.00758296437561512,-0.018100742250680923,1.5934748503875769,-0.025810043438710815,-0.7015063680488725,0.1593474850387577,0.0060554258458465175,0.298734157079441,-11.00314853596501,0.2112705372273922,0.21538351103663445
1609703828.7565532,Tracking,-0.00758296437561512,-0.018100742250680923,1.5937178069505804,-0.02682462591947004,-0.6908978312870095,0.15937178069505806,0.020468945591175344,0.2997605493983226,-11.00314853596501,0.2112705372273922,0.21538351103663445
1609703828.862599,Tracking,-0.006906683091074228,-0.010457467287778854,1.5946863301467358,-0.02355687798829585,-0.6813173563237138,0.1594686330146736,0.012690177705922082,0.3007390487461576,-10.961118201492354,0.3140583001077175,0.22095037624239922
1609703828.9583883,Tracking,-0.006906683091074228,-0.010457467287778854,1.5949352823533722,-0.027875438253909455,-0.6696336118682557,0.15949352823533725,0.026613112399119412,0.292793149693175,-10.961118201492354,0.3140583001077175,0.22095037624239922
1609703829.0689344,Tracking,-0.002765299752354622,-0.0072364830411970615,1.5855640640428341,-0.030503722569286185,-0.6242550530997608,0.15855640640428342,0.023970900141263796,0.23200842650081066,-10.919693450210616,0.41718530282378197,0.22596004232764244
